id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
13226114,Home in Seattle · ★4.79 · 2 bedrooms · 4 beds · 2 baths,1884549,Denise & Sean,Rainier Valley,Columbia City,47.56555,-122.29385,Entire home/apt,240,4,24,2022-12-01,0.28,1,9,5,STR-OPLI-19-000171
12518952,Guest suite in Seattle · ★5.0 · 2 bedrooms · 6 beds · 1 bath,12677600,Joe,Other neighborhoods,Green Lake,47.68243,-122.33086,Entire home/apt,200,3,60,2023-06-13,0.71,1,113,9,STR-OPLI-19-002061
521597880867717063,Serviced apartment in Seattle · Studio · 1 bath,48005494,Zeus,Ballard,Adams,47.66646,-122.3765,Entire home/apt,81,30,2,2023-04-10,0.44,36,191,2,
17889172,Rental unit in Seattle · ★5.0 · 1 bedroom · 1 bed · 1 bath,66909032,Randy,Other neighborhoods,Wallingford,47.6548,-122.34042,Entire home/apt,125,30,28,2023-05-06,0.38,4,307,4,STR-OPLI-19-000865
15917796,Home in Seattle · ★4.60 · Studio · 3 beds · 1 bath,38021932,Rocky,Capitol Hill,Montlake,47.64017,-122.32271,Entire home/apt,128,30,31,2022-07-31,0.38,1,316,2,STR-OPLI-19-003016
38328402,Guesthouse in Seattle · ★4.97 · 1 bedroom · 1 bed · 1 bath,6397518,Sean,Delridge,High Point,47.54646,-122.36559,Entire home/apt,148,3,86,2023-05-29,1.88,1,158,24,STR-OPLI-19-003229
715262634450370999,Condo in Seattle · ★4.94 · 1 bedroom · 1 bed · 1 bath,15476414,Kurt,Downtown,Pike-Market,47.60902512940092,-122.33883632638931,Entire home/apt,249,6,16,2023-06-07,1.85,1,9,16,STR-OPLI-22-001480
53232931,Townhouse in Seattle · ★4.98 · 2 bedrooms · 2 beds · 2 baths,23616276,Morgan,Central Area,Minor,47.60886,-122.31502,Entire home/apt,281,2,44,2023-06-20,2.44,1,261,36,STR-OPLI-21-001209
17433936,Rental unit in Seattle · ★4.98 · 1 bedroom · 1 bed · 1 shared bath,65959768,Em,Downtown,Belltown,47.6126,-122.3405,Shared room,50,30,56,2019-12-07,0.74,2,0,0,
8941768,Rental unit in Seattle · ★5.0 · 1 bedroom · 1 bed · 1 bath,3022709,Laura,Queen Anne,East Queen Anne,47.63209,-122.34643,Entire home/apt,250,30,10,2019-08-17,0.11,2,0,0,
50511057,Townhouse in Seattle · ★4.91 · 2 bedrooms · 2 beds · 1 private bath,163261952,Viet,Beacon Hill,North Beacon Hill,47.5868,-122.30604,Private room,114,2,77,2022-12-31,3.40,2,1,29,
54318319,Townhouse in Seattle · ★4.95 · 1 bedroom · 1 bed · 1 private bath,113480449,Tram,Central Area,Mann,47.61431,-122.29872,Private room,68,2,57,2023-04-09,3.64,1,0,40,
706979493162928664,Rental unit in Seattle · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,Downtown,Belltown,47.6156911,-122.3479268,Entire home/apt,209,31,0,,,398,0,0,
595972109894819132,Home in Seattle · ★5.0 · 4 bedrooms · 6 beds · 2.5 baths,3147600,Mellington,Capitol Hill,Stevens,47.6261,-122.30131,Entire home/apt,507,2,17,2023-06-11,1.34,3,303,16,STR-OPLI-22-000884
742998725604210763,Vacation home in Seattle · 6 bedrooms · 7 beds · 3.5 baths,477279461,Jen,Other neighborhoods,Fremont,47.66317,-122.3482,Entire home/apt,750,2,0,,,22,146,0,STR-OPLI-22-000515
644892680889770904,Rental unit in Seattle · ★4.33 · 1 bedroom · 1 bed · 1 bath,164917,Christina,Rainier Valley,Columbia City,47.55681,-122.28402,Entire home/apt,66,30,3,2023-05-06,0.27,1,142,3,
762428409197175519,Home in Seattle · Studio · 1 bed · 1 bath,379735904,Mimi,Cascade,Eastlake,47.64246,-122.32416,Private room,72,30,0,,,24,281,0,
7434103,Home in Seattle · ★4.89 · 1 bedroom · 1 bed · 1 private bath,13869873,Heather,Lake City,Cedar Park,47.72388,-122.28792,Private room,93,2,216,2023-06-10,2.24,1,152,44,
36135642,Guest suite in Seattle · ★4.90 · 1 bedroom · 1 bed · 1 bath,4856099,Melissa,Queen Anne,North Queen Anne,47.64313,-122.36934,Entire home/apt,150,2,50,2022-06-10,1.03,2,13,0,STR-OPLI-19-000678
753841382262598408,Home in Seattle · 1 bedroom · 1 bed · 1 bath,484899828,Amy,Capitol Hill,Stevens,47.62797,-122.29974,Private room,93,10,0,,,56,327,0,
21014515,Rental unit in Seattle · ★4.85 · 3 bedrooms · 4 beds · 2 baths,3792761,Kimberly,Queen Anne,West Queen Anne,47.63112,-122.36782,Entire home/apt,575,2,119,2023-06-07,1.70,2,312,28,STR-OPLI-19-001614
29594876,Guest suite in Seattle · ★4.75 · 2 bedrooms · 2 beds · 1 bath,53552204,Randy,University District,University District,47.66601,-122.3076,Entire home/apt,172,2,73,2023-06-21,1.30,6,123,25,STR-OPLI-21-001118
687135496336000732,casa particular in Seattle · ★5.0 · 1 bedroom · 1 bed · 1 private bath,473541603,Judith Iliana,Rainier Valley,Dunlap,47.53131,-122.27315,Private room,65,7,9,2023-05-19,1.10,1,293,9,
36642294,Home in Seattle · ★4.80 · 2 bedrooms · 3 beds · 1 bath,54660,Dennis,Other neighborhoods,Crown Hill,47.70072,-122.37031,Entire home/apt,129,1,76,2023-01-07,1.79,4,303,28,STR-OPLI-19-001993
3689416,Condo in Seattle · ★4.63 · 1 bedroom · 1 bed · 1 private bath,6533205,Lauren,Other neighborhoods,Bitter Lake,47.72494,-122.35308,Private room,199,30,30,2021-11-18,0.28,2,89,0,
635753353205331615,Townhouse in Seattle · 2 bedrooms · 3 beds · 1 bath,390701076,Talya,Lake City,Cedar Park,47.71654,-122.29253,Entire home/apt,130,30,1,2022-07-21,0.09,2,343,1,
754589021558502614,Rental unit in Seattle · Studio · 2 beds · 1 bath,486668676,Adal,Rainier Valley,Dunlap,47.52157,-122.26451,Entire home/apt,70,30,0,,,1,158,0,
41217535,Home in Seattle · ★4.86 · 1 bedroom · 2 beds · 1 shared bath,145720154,Chima,Rainier Valley,Brighton,47.54003,-122.27492,Private room,87,1,7,2022-12-01,0.18,15,4,4,
17569942,Guest suite in Seattle · ★4.98 · 1 bedroom · 1 bed · 1 bath,113731151,Mike And Lori,West Seattle,Genesee,47.56614,-122.37526,Entire home/apt,122,2,180,2023-06-18,2.37,1,58,17,STR-OPLI-19-001933
47583248,Home in Seattle · ★4.86 · 2 bedrooms · 4 beds · 1 bath,204886779,Jennifer,Magnolia,Lawton Park,47.65659,-122.39312,Entire home/apt,162,2,43,2023-06-05,1.47,11,31,17,STR-OPLI-20-001146
801777974580079167,Home in Seattle · ★5.0 · 5 bedrooms · 5 beds · 2 baths,458295751,Emma,Central Area,Minor,47.6105921342514,-122.30642744622457,Entire home/apt,389,3,14,2023-06-19,2.88,11,101,14,STR-OPLI-23-000058
52086672,Home in Seattle · ★4.92 · 2 bedrooms · 2 beds · 1 bath,1247007,Alex,Lake City,Matthews Beach,47.71347,-122.29004,Entire home/apt,154,7,26,2023-05-15,1.31,3,279,18,STR-OPLI-21-000990
25427908,Home in Seattle · ★4.74 · 2 bedrooms · 2 beds · 2 baths,5269812,Rachel,Rainier Valley,Columbia City,47.55753,-122.2903,Entire home/apt,207,2,108,2023-06-21,1.77,2,62,20,STR-OPLI-19-002694
762431961365940371,Home in Seattle · Studio · 1 bed · 1 bath,190507384,Cherry,Capitol Hill,Portage Bay,47.64198,-122.32278,Private room,79,10,0,,,51,323,0,
53484133,Townhouse in Seattle · ★4.50 · 3 bedrooms · 3 beds · 2.5 baths,139011270,Lakshmi,Rainier Valley,Mount Baker,47.57272,-122.29341,Entire home/apt,125,3,4,2022-08-07,0.22,1,3,2,STR-OPLI-21-001253
762432582588665527,Home in Seattle · 1 bedroom · 1 bed · 1 bath,379735904,Mimi,Cascade,Eastlake,47.64236,-122.32493,Private room,69,10,0,,,24,284,0,
574641106939923823,Townhouse in Seattle · ★4.20 · 3 bedrooms · 3 beds · 2 baths,446539146,Vacasa Washington,Other neighborhoods,Georgetown,47.54281,-122.32012,Entire home/apt,191,2,10,2023-06-11,0.80,21,348,9,STR-OPLI-19-001887
42081811,Rental unit in Seattle · 1 bedroom · 1 bed · 1 bath,107434423,Blueground,Downtown,Pioneer Square,47.5978181,-122.3330053,Entire home/apt,152,31,1,2020-11-10,0.03,398,333,0,
14217071,Rental unit in Seattle · ★4.04 · 1 bedroom · 2 beds · 1 bath,3074414,Melissa,University District,University District,47.6584,-122.31743,Entire home/apt,128,30,23,2022-09-18,0.28,118,160,8,STR-OPLI-19-002570
20474868,Home in Seattle · 3 bedrooms · 4 beds · 3 baths,5961811,Thaddaeus,Other neighborhoods,Ravenna,47.6781,-122.30533,Entire home/apt,446,10,1,2022-11-28,0.14,2,0,1,STR-OPLI-21-000625
9098494,Townhouse in Seattle · ★4.73 · 3 bedrooms · 2 beds · 2.5 baths,3712110,Sheeba,West Seattle,Genesee,47.56479,-122.38799,Entire home/apt,125,30,53,2022-11-14,0.57,1,0,2,STR-OPLI-19-000253
21886733,Home in Seattle · ★4.33 · 4 bedrooms · 4 beds · 4 baths,73484597,Lee,Rainier Valley,Brighton,47.53362,-122.2772,Private room,800,1,6,2022-07-17,0.12,15,275,1,STR-OPLI-19-001223
638979576322689649,Home in Seattle · 1 bedroom · 2 beds · 1 shared bath,145720154,Chima,Rainier Valley,Mount Baker,47.56869,-122.28552,Private room,99,1,1,2022-08-03,0.09,15,0,1,
50709546,Rental unit in Seattle · ★4.95 · 1 bedroom · 1 bed · 1 bath,3313235,Leslie,Beacon Hill,North Beacon Hill,47.58518,-122.31723,Entire home/apt,130,20,19,2023-05-02,0.80,2,2,10,STR-OPLI-19-001128
50941340,Guest suite in Seattle · ★4.75 · 1 bedroom · 2 beds · 1 bath,44949379,Keith And Audrey,Rainier Valley,Dunlap,47.52979,-122.2791,Entire home/apt,91,1,73,2022-11-17,3.15,1,0,35,STR-OPLI-19-002452
668371365830096336,Rental unit in Seattle · 1 bedroom · 1 bed · 1 bath,263502162,Landing,Queen Anne,Lower Queen Anne,47.62245,-122.35863,Entire home/apt,85,30,0,,,97,0,0,
609702237286233229,Rental unit in Seattle · 1 bedroom · 1 bed · 1 bath,263502162,Landing,Queen Anne,Lower Queen Anne,47.62255,-122.35948,Entire home/apt,85,30,0,,,97,0,0,
630050061027229475,Rental unit in Seattle · 1 bedroom · 1 bed · 1 bath,263502162,Landing,Downtown,Pioneer Square,47.59743,-122.33086,Entire home/apt,128,30,0,,,97,0,0,
